task,HC_mean,PD_mean,effect_size_d,p_value,fdr
Relaxed1,0.2765626,0.25458112,-0.12788874,0.152934,1.0
Relaxed2,0.2765626,0.25458112,-0.12788874,0.152934,1.0
RelaxedTask1,0.2765626,0.25458112,-0.12788874,0.152934,0.7136920293172201
RelaxedTask2,0.2765626,0.25458112,-0.12788874,0.152934,0.535269021987915
StretchHold,0.2765626,0.25458112,-0.12788874,0.152934,0.42821521759033204
LiftHold,0.2765626,0.25458112,-0.12788874,0.152934,0.35684601465861004
HoldWeight,0.2765626,0.25458112,-0.12788874,0.152934,0.3058680125645229
PointFinger,0.2765626,0.25458112,-0.12788874,0.152934,0.2676345109939575
DrinkGlas,0.2765626,0.25458112,-0.12788874,0.152934,0.23789734310574
CrossArms,0.2765626,0.25458112,-0.12788874,0.152934,0.21410760879516602
TouchIndex,0.2765626,0.25458112,-0.12788874,0.152934,0.1946432807228782
TouchNose,0.2765626,0.25458112,-0.12788874,0.152934,0.17842300732930502
Entrainment1,0.2765626,0.25458112,-0.12788874,0.152934,0.16469816061166617
Entrainment2,0.2765626,0.25458112,-0.12788874,0.152934,0.15293400628226145
